holiday,show_place,类型_剧情,类型_动作,类型_犯罪,类型_悬疑,类型_爱情,类型_科幻,类型_喜剧,类型_冒险,类型_战争,类型_历史,类型_家庭,year,month,weekday,lasting_date,Avg_Review_Length,Weighted_Sentiment_Score,trend_slope,day_0,day_1, day_2, day_3,day_4,day_5,day_6,day_7,res_fc_feature
工作日,中国大陆,1,0,0,0,1,0,0,0,0,0,1,2023,4,4,60,79.6228373702422,2.90108194120153,-0.0953744268916965,4448.74,4397.58,4117.94,3846.83,3105.41,1889.97,917.88,693.05,13732.881
工作日,中国大陆,0,0,0,0,1,0,0,0,0,0,0,2023,4,4,30,50.6500857632933,3.278938246469,-0.0749340102572686,697.75,619.38,299.04,285.24,204.03,115.73,54.8,30.88,1477.0953
工作日,中国大陆,1,0,0,0,0,0,0,0,0,0,0,2017,12,4,31,80.9405772495756,2.46449129620524,0.0,3831.84,4685.67,5803.24,3228.69,846.04,646.7,469.84,288.84,12033.135
工作日,中国大陆/中国香港,0,1,1,1,0,0,0,0,0,0,0,2017,12,4,42,93.8020304568528,2.88769891853721,0.130491630159839,5479.8,4367.45,4193.5,2387.35,1261.16,1230.84,1075.19,182.2,13008.51
工作日,中国大陆,0,0,0,0,1,0,1,0,0,0,0,2017,12,4,48,81.6627118644068,2.31286113147858,-0.184887623572469,6449.24,8546.22,13157.69,12407.51,9374.25,10913.04,11540.84,14925.32,171671.52
工作日,中国大陆/日本,1,0,0,1,0,0,0,0,0,0,0,2017,12,4,55,86.4251700680272,3.33063176236676,0.0796325243209418,7425.89,8736.09,8162.76,4464.15,2769.35,2760.71,2422.02,2004.61,32470.65
工作日,中国大陆/中国香港,1,0,1,0,0,0,0,0,0,0,0,2017,12,4,30,84.0340715502555,2.90970856397671,0.205832601978275,1621.13,1190.38,949.8,467.35,446.69,419.48,228.31,35.77,4602.2134
工作日,中国大陆,1,1,0,0,0,1,0,0,0,0,0,2017,12,4,30,76.0919931856899,2.38768978974735,0.108512166465088,7608.55,5987.81,6001.79,3312.64,1763.78,1643.98,1380.79,222.4,25768.21
工作日,中国大陆,0,0,0,0,1,0,1,0,0,0,0,2017,12,4,31,76.587734241908,3.05374017429042,-0.307554743130911,5779.36,5166.09,5902.38,3737.35,1352.5,1084.71,992.7,599.42,13865.609
工作日,中国大陆,1,0,1,1,0,0,0,0,0,0,0,2018,4,5,31,48.7006802721088,2.93197138936313,-0.263271313625674,4366.98,5100.37,5678.36,4627.46,1915.3,1655.51,1790.77,2965.98,20882.598
工作日,中国大陆,1,0,0,0,1,0,0,0,0,0,0,2018,4,5,62,62.9537671232877,2.45245305665309,-0.378498842418757,28556.72,27683.25,21934.4,14884.77,6956.58,5264.91,5397.79,6417.07,116880.97
工作日,中国大陆,0,0,0,0,1,0,1,0,0,0,0,2018,4,4,30,38.8429054054054,2.52092309602669,-0.0239060943979839,1817.06,2440.77,2061.05,956.71,917.98,849.27,764.38,709.94,1339.1525
工作日,中国大陆,0,0,0,0,0,0,0,0,0,0,0,2018,4,4,41,65.0750988142292,3.98347835441462,-0.179766199147617,8.2,5.95,6.46,3.99,4.7,4.23,5.02,4.92,563.39996
工作日,中国大陆,1,0,0,0,1,0,0,1,0,0,0,2018,4,4,27,24.7547826086956,1.77470418021196,0.0063789757260203,120.55,113.03,80.07,31.87,29.19,25.54,24.56,2.66,803.9283
工作日,中国大陆,0,0,0,0,0,0,0,0,0,0,0,2018,4,5,36,23.5632911392405,1.82405595378861,-1.96261557335472e-17,26.12,30.05,30.53,19.48,13.64,12.21,12.02,16.36,524.57434
清明节,中国大陆,0,0,0,0,0,0,0,1,0,0,1,2018,4,3,30,44.030303030303,2.77741773623893,0.0,661.59,603.65,408.38,35.64,16.38,17.67,13.76,11.45,599.80646
工作日,中国大陆,0,0,0,0,1,0,1,0,0,0,0,2018,4,4,30,49.2417962003454,2.55254359804125,0.271221138123574,913.96,835.73,549.67,248.97,244.68,226.85,216.5,203.92,627.5557
工作日,中国大陆,0,1,1,1,0,0,0,0,0,0,0,2019,4,1,30,65.6937716262976,2.65600844329379,-0.0772082820443482,518.13,387.37,317.05,307.9,244.19,195.78,172.24,168.05,593.6108
工作日,中国香港/中国大陆,0,1,1,0,0,0,0,0,0,0,0,2019,4,3,60,50.3293310463122,2.67316346317219,0.0332287750231979,7968.87,10527.72,9543.54,6772.5,3651.93,3131.42,2892.49,2572.38,51242.008
休息日,中国大陆,1,0,0,0,0,0,0,0,0,0,1,2019,4,5,31,54.0749574105622,2.58340022822727,0.0985196429305256,645.18,570.75,247.53,199.93,23.82,22.39,25.25,38.38,523.8079
工作日,中国大陆,1,0,0,0,0,0,0,0,0,0,0,2019,4,4,30,85.045534150613,3.44980078198138,-0.26130884254227,167.95,163.42,130.15,93.14,96.69,85.22,78.11,57.3,608.7221
工作日,中国大陆,0,0,1,1,0,1,0,0,0,0,0,2019,4,4,20,35.5008547008547,1.45834099995204,-0.0680318968565233,380.38,196.92,80.27,20.69,18.22,15.7,15.89,4.69,608.67236
工作日,中国香港,0,0,0,0,1,0,1,0,0,0,0,2019,4,4,35,23.5321739130435,1.30062232253979,-0.0462492830573233,507.31,428.55,215.04,79.4,67.6,55.73,49.98,7.03,501.15756
工作日,中国大陆,1,0,0,0,1,0,0,0,0,0,0,2019,4,4,30,56.3818493150685,2.25984928243945,-0.15197617045405,905.52,645.24,418.82,175.37,141.75,12.49,10.83,11.25,554.53687
工作日,中国大陆,0,0,0,0,1,0,1,0,0,0,0,2021,1,4,23,54.0543293718166,2.07050202769096,-0.151558080111191,1283.96,2039.74,1850.66,1006.47,1122.0,1304.1,1258.09,1345.62,6226.962
工作日,中国大陆/美国/中国香港,0,0,0,0,0,0,1,0,0,0,0,2021,1,4,27,52.9705882352941,3.30720627306839,0.118156703664135,998.89,1406.85,1205.53,378.03,381.08,401.82,430.12,482.79,13482.001
工作日,中国大陆/英国,0,0,0,0,0,0,0,1,0,0,0,2021,1,4,34,29.5078260869565,3.13931112094318,0.0,190.7,656.78,624.8,57.58,53.85,46.46,47.74,31.04,627.54126
工作日,中国大陆/中国台湾,0,0,1,1,0,1,0,0,0,0,0,2021,1,4,27,100.320137693632,3.43078501255982,0.0,1779.74,1806.58,1372.97,614.93,536.39,475.3,432.41,281.3,6658.872
工作日,中国大陆,0,0,0,0,0,0,0,0,0,0,0,2021,1,4,20,32.5809199318569,1.70274784148033,0.0755891226811915,123.25,49.52,36.21,21.46,18.83,17.28,15.82,2.56,506.23795
工作日,中国大陆,1,0,0,0,0,0,0,0,0,0,1,2021,1,4,27,56.5521367521367,2.3238986560125,0.467802971929079,287.42,573.97,545.9,136.11,187.09,192.28,191.56,131.73,695.09155
工作日,中国香港/中国大陆,1,1,1,0,0,0,0,0,0,0,0,2020,11,4,62,73.0137457044674,2.69214200554849,0.26379981182402,5137.09,7956.37,6669.82,3041.19,2594.62,2296.84,2179.66,2237.05,31558.03
工作日,中国大陆,1,0,0,0,0,0,0,0,0,0,0,2020,11,4,30,129.089347079038,3.7114071243601,-0.0430622009569378,2112.22,2766.43,2113.23,877.98,786.0,712.46,633.63,201.38,5446.5576
工作日,中国大陆,1,0,1,0,1,0,0,0,0,0,0,2020,11,4,30,104.224315068493,2.87220846201806,0.0,1497.13,1856.96,1326.28,378.45,338.26,342.65,316.82,236.95,7376.3135
工作日,中国香港,0,0,1,1,0,0,0,0,0,0,0,2019,10,5,33,60.9226804123711,3.29654336426405,-0.127885504844571,5314.67,5343.68,2554.03,2339.39,2153.79,1708.54,720.99,1271.4,10545.64
工作日,中国香港/中国大陆,0,0,1,1,0,0,0,0,0,0,0,2019,10,4,34,55.8805460750853,2.83791963203254,0.0,2020.23,1953.91,1525.18,788.82,688.94,623.23,562.15,94.19,2915.4497
国庆节,美国/中国大陆,0,0,0,0,0,0,1,1,0,0,0,2019,10,1,54,59.7091222030981,3.33895442613622,0.0,2114.37,1338.16,1322.27,1207.67,1186.4,1137.28,1089.26,194.23,9580.033
工作日,中国大陆,1,0,0,0,0,0,0,0,1,0,0,2019,10,2,32,38.0292887029289,2.06926027481729,-0.194375286779428,296.74,208.55,83.28,19.14,4.97,10.72,12.67,5.57,802.20135
工作日,中国大陆/中国香港,1,0,1,0,1,0,0,0,0,0,0,2019,10,4,45,107.989619377163,3.9195925563776,-0.240544111640999,14990.67,23914.13,19954.46,8576.59,7139.14,6022.0,5305.56,7220.88,124103.7
工作日,美国/中国大陆,1,1,0,0,0,1,0,0,0,0,0,2019,10,4,41,167.947368421053,3.29300644250166,-0.0401094413973982,5628.55,5303.98,3718.23,1361.98,1165.85,1048.0,908.42,572.72,15589.464
工作日,中国大陆,0,0,0,0,1,0,0,0,0,0,0,2018,10,4,31,66.3713298791019,2.83501596628955,0.076923076923077,1272.39,2089.23,1548.48,462.21,397.11,375.54,275.93,248.36,4330.8438
工作日,中国大陆,1,0,0,0,0,0,0,0,0,0,0,2018,10,4,30,88.663282571912,2.68635129108163,-1.0,1087.3,733.28,339.19,104.28,74.05,57.81,47.69,6.01,784.118
国庆节,美国/中国大陆,0,0,0,0,0,0,0,1,0,0,0,2018,10,0,44,32.4010416666667,1.50802218512775,-7.85046229341887e-17,1248.19,917.58,802.15,677.79,635.16,616.6,600.57,19.63,666.7114
休息日,中国大陆,1,0,0,0,0,0,0,0,0,0,1,2018,10,4,61,87.6020408163265,3.3035250806095,0.0760448872560382,1919.89,1606.67,1506.31,848.43,922.81,1026.07,998.89,1285.86,17422.232
工作日,中国大陆,0,0,1,1,0,0,0,0,0,0,0,2018,10,2,22,42.9847198641766,2.81140557867107,0.0616580786538257,123.52,171.76,25.99,32.19,21.88,10.8,8.88,9.5,691.6098
工作日,中国大陆,1,1,0,0,0,0,0,0,0,0,0,2018,10,4,31,40.4828178694158,1.7756848332187,0.111625684166868,518.06,446.97,299.88,138.67,152.83,120.53,65.51,6.98,661.98413
休息日,中国大陆/法国,1,0,0,1,1,0,0,0,0,0,0,2018,12,0,31,128.222413793103,3.09272799420896,-0.0181756641537621,26277.65,1123.4,186.56,130.44,25.96,41.52,30.4,18.36,11791.877
工作日,法国/中国大陆/日本/美国,0,0,0,0,0,0,1,0,0,0,0,2018,12,4,30,48.8159722222222,3.27397049074351,-0.109619879934328,274.23,856.35,817.02,65.82,45.67,43.52,40.13,10.76,619.1003
工作日,中国大陆,1,0,0,0,0,0,0,0,0,0,0,2018,12,1,38,36.7546531302877,1.56589950286139,-0.203534426380353,405.18,202.98,145.09,33.67,44.68,30.49,10.27,28.81,919.8481
工作日,中国大陆,0,1,0,0,0,0,0,1,0,0,0,2018,12,5,32,54.2371134020619,1.41468362051212,0.0,6474.85,3417.63,2256.59,1428.92,458.73,348.89,78.22,114.23,667.0147
工作日,中国大陆,1,0,0,0,0,0,0,0,0,0,1,2018,12,4,30,113.370307167235,3.62610067930012,-0.142857142857143,382.07,562.1,537.94,257.1,291.17,324.62,363.44,135.61,2268.2942
工作日,中国大陆,0,0,0,0,0,0,1,0,0,0,0,2018,12,4,31,46.45,1.98012004315731,0.0037646839121743,3841.0,2746.41,1965.2,1235.36,1145.03,567.73,473.92,244.76,9768.279
工作日,中国大陆,0,0,0,0,0,0,1,1,0,0,0,2018,12,5,30,37.7068965517241,1.26421425225008,-0.25,2393.52,1272.53,766.4,355.88,82.77,69.35,15.72,22.7,1379.3152
工作日,中国大陆/中国香港,0,0,0,0,0,0,1,0,0,0,0,2018,12,4,31,42.6786941580756,1.62064587332937,-1.30841038223648e-17,1663.28,2100.04,1488.96,781.67,789.14,434.31,364.83,158.8,1020.0091
休息日,中国大陆,1,1,0,1,0,0,0,0,0,0,0,2023,6,5,26,60.972972972973,2.98923829002841,0.140997842054913,318.14,116.37,42.31,36.63,30.39,28.31,5.91,7.51,882.336
工作日,中国香港/中国大陆,1,0,0,0,0,0,0,0,0,0,1,2023,6,2,29,64.0392491467577,2.20289094824536,-0.171288125160008,745.06,1550.47,934.39,445.17,123.53,76.3,60.45,49.44,761.3554
端午节,中国大陆,0,0,1,1,0,0,0,0,0,0,0,2023,6,3,98,70.5053475935829,2.69867281921234,0.0,15924.4,18399.41,16508.21,15394.93,16983.93,19039.85,20181.69,19980.66,301700.72
工作日,中国大陆/中国香港,0,1,0,0,0,0,1,0,0,0,0,2018,1,4,32,35.7652173913043,1.81730336978938,-0.0486486486486484,2099.1,802.88,431.58,157.84,125.12,107.18,57.13,11.09,879.3389
工作日,中国大陆,0,0,0,0,0,0,1,0,0,0,0,2018,1,4,20,21.9170984455959,1.49722947925699,0.201062879185881,71.81,53.5,45.75,28.3,29.94,30.83,17.58,6.26,563.2437
工作日,中国大陆/澳大利亚,0,1,0,0,0,0,0,1,0,0,0,2018,1,4,27,39.0188356164384,1.66459206985731,-0.0545198882691832,2076.24,1167.51,672.42,278.39,214.18,192.11,154.35,19.89,765.99634
工作日,美国/中国香港,1,0,0,0,0,0,0,0,0,0,1,2018,1,4,27,68.5740740740741,3.9741617407312,0.0049847662641373,1616.72,2099.39,1745.09,734.48,798.68,831.34,800.12,671.13,943.15265
工作日,中国大陆/中国香港,1,1,0,0,0,0,0,0,0,0,0,2018,1,3,28,59.5866209262436,2.5545176788212,0.0967620813882772,1013.49,2135.66,1145.5,772.07,339.01,262.64,221.02,193.56,652.7895
工作日,中国大陆,1,0,0,0,0,0,0,1,0,0,0,2021,8,4,29,35.4584775086505,2.23026034039407,-0.1591709755626,129.93,141.14,129.96,70.28,61.52,54.19,46.65,6.66,664.13324
工作日,中国大陆,0,0,0,0,1,0,1,0,0,0,0,2021,8,4,30,34.1686746987952,1.28637568646844,0.0162737527367118,503.61,1561.41,304.62,119.98,91.13,68.03,56.98,14.35,558.5322
工作日,中国大陆,1,0,0,0,0,0,0,0,0,0,0,2021,8,4,30,62.4003436426117,1.82975982342955,0.13278772654064,711.1,479.64,332.69,166.63,115.72,79.25,66.18,14.81,603.0744
